74,93,75,93,75,93,76,93,77,93,78,92,78,92,77,93,78,93,78,92,78,92,79,93,79,94,79,95,79,95,79,95,80,94,80,94,80,94,80,95,81,94,81,93,81,93,81,94,82,93,82,92,81,91,82,91,82,90,82,90,83,89,82,90,82,89,82,89,81,90,80,90,79,91,79,91,78,92,77,93,77,94,78,94,78,95,78,96,77,95,76,95,76,95,75,95,75,94,76,93,75,94,74,95,74,95,74,95,74,95,74,94,73,95,73,95,74,94,75,95,76,95,76,96,76,96,76,96,75,97,74,97,73,98,72,98,72,98,71,99,71,100,70,101,70,102,70,102,71,102,72,102,72,102,72,102,72,101,72,102,72,102,73,102,73,102,72,103,71,103,70,103,71,103,71,103,71,104,71,103,71,102,71,101,72,101,71,100,70,99,70,100,69,100,68,100,68,100,68,100,
59,27,59,27,58,26,58,26,58,27,58,26,59,26,59,26,60,27,60,27,61,27,61,27,61,28,60,29,59,28,59,29,58,29,57,28,57,28,57,28,58,29,58,29,58,29,59,29,59,30,59,31,59,31,59,32,59,31,58,30,58,29,57,29,57,30,58,31,59,32,59,31,59,32,58,32,59,31,59,31,58,30,58,29,59,30,59,30,58,30,57,30,58,29,58,29,58,29,58,28,59,29,60,28,61,28,61,27,61,28,61,27,62,27,61,27,61,27,61,28,61,28,61,28,61,27,62,26,62,27,61,26,61,27,62,28,61,27,62,26,62,26,63,26,64,25,64,25,65,24,66,24,65,25,64,24,63,25,64,25,63,24,63,24,63,24,62,23,61,23,61,24,61,23,60,22,60,21,61,21,61,21,62,22,61,22,60,21,60,21,59,21,60,20,61,20,61,19,61,18,
38,8,38,9,37,9,38,9,38,9,38,8,38,8,38,8,38,7,39,6,38,6,37,7,37,7,36,7,35,6,35,5,34,6,33,6,34,5,33,6,34,6,33,6,32,6,32,7,32,8,33,8,33,8,32,7,31,7,31,6,30,6,31,7,31,6,30,6,29,6,29,6,28,6,28,5,28,5,27,5,28,4,27,4,27,4,27,3,27,3,27,2,28,2,28,3,28,3,28,4,27,4,28,4,29,4,29,4,28,5,27,4,27,3,27,2,26,3,27,2,27,1,26,1,26,1,25,1,25,1,26,2,26,2,26,1,26,0,27,-1,28,-2,28,-1,27,0,26,1,26,1,27,1,27,1,27,1,26,0,26,0,26,0,25,0,26,0,26,0,25,0,25,-1,25,-1,26,-1,25,-2,25,-2,24,-2,24,-2,25,-1,25,0,24,0,23,1,22,0,22,1,22,1,22,0,
7,69,7,70,6,70,7,69,7,69,6,69,6,69,6,69,6,69,7,68,7,67,7,67,8,67,7,66,7,66,7,67,7,66,7,66,7,66,7,66,8,66,8,66,7,66,7,65,7,66,7,66,6,66,6,66,6,65,6,66,6,65,6,65,7,64,8,64,8,64,9,63,10,63,10,63,10,64,9,64,9,65,10,65,9,65,8,66,8,66,7,65,8,66,9,66,9,66,9,66,9,65,9,64,9,63,9,62,8,62,8,63,8,63,8,62,7,61,7,60,8,59,8,60,8,59,8,59,8,58,8,58,7,57,7,57,7,57,7,57,7,57,6,57,7,56,8,56,9,55,8,56,7,56,7,55,8,55,8,56,7,57,8,57,9,58,9,58,9,58,9,58,9,57,10,58,9,57,9,57,9,57,10,57,10,57,10,57,9,57,9,57,9,56,8,56,7,56,7,55,
57,3,58,3,57,2,56,2,56,2,56,2,56,2,56,1,56,0,56,-1,56,0,55,0,54,-1,54,0,53,-1,54,-1,54,-1,54,-1,53,-1,54,-1,54,-1,53,-2,54,-3,54,-2,55,-2,54,-2,54,-1,55,-1,55,-2,55,-2,55,-2,54,-1,53,-2,53,-3,54,-2,54,-2,55,-3,54,-3,54,-3,54,-4,55,-3,55,-2,55,-3,55,-2,55,-3,56,-3,57,-3,57,-2,58,-1,58,-1,57,-1,57,0,56,0,56,0,56,-1,56,-2,55,-2,54,-2,55,-2,54,-2,54,-1,53,-2,52,-2,51,-3,52,-3,52,-3,51,-3,51,-3,51,-4,50,-4,51,-3,52,-2,52,-1,51,-1,50,-1,50,-1,49,-2,50,-2,49,-1,50,-2,51,-2,51,-1,51,-2,52,-2,51,-1,50,-1,49,-2,48,-1,49,-1,50,-1,50,0,49,-1,49,-2,50,-2,50,-2,51,-2,51,-1,50,0,51,1,51,1,
55,25,55,25,55,26,54,27,54,26,55,25,55,26,55,26,56,26,56,27,56,27,56,26,56,26,57,26,57,25,58,25,59,26,60,26,60,25,60,25,61,25,61,26,61,26,62,25,61,25,61,26,61,25,61,24,61,24,60,25,60,26,60,26,61,26,61,25,61,24,61,24,61,25,61,26,60,26,60,26,60,27,60,28,59,28,59,27,58,27,58,28,59,29,60,29,59,29,59,29,58,29,57,29,57,29,57,28,57,29,58,28,59,29,60,29,59,28,59,28,59,29,59,29,60,30,60,30,60,31,61,31,62,31,62,32,62,32,63,31,63,30,64,30,64,29,65,30,64,29,64,28,63,28,63,27,62,26,62,26,62,27,62,28,62,27,62,28,61,27,62,27,63,26,64,26,64,25,64,25,65,25,64,25,64,25,65,25,66,26,66,27,66,27,65,27,64,28,64,28,
86,28,86,28,86,28,86,28,87,27,86,28,85,27,85,26,85,26,86,25,85,25,86,24,86,24,86,24,86,25,85,25,85,25,85,25,85,26,85,27,85,27,85,26,85,26,85,26,85,27,85,27,84,28,85,29,85,29,85,30,86,30,87,30,87,29,87,29,87,28,88,27,88,26,87,27,87,27,87,26,88,26,88,26,89,27,88,27,89,26,89,26,88,27,88,28,88,28,88,28,88,28,89,28,90,28,90,28,89,28,89,28,90,28,91,28,92,28,92,29,92,29,92,30,91,31,90,30,90,31,89,32,88,32,89,31,89,32,88,32,89,33,89,32,89,33,89,32,89,31,89,32,88,32,89,32,89,32,89,32,90,32,91,32,91,33,92,33,91,33,90,33,89,32,90,32,91,32,91,32,91,32,91,33,90,32,91,32,91,31,91,32,90,32,90,32,89,31,90,32,
62,15,63,15,63,15,64,15,64,15,64,16,65,16,65,17,65,17,66,16,66,15,65,16,65,17,65,16,64,17,64,18,65,18,65,18,65,18,65,19,66,18,65,18,64,17,63,17,63,18,64,17,63,18,62,17,63,18,64,18,64,17,64,17,64,18,63,18,63,19,64,20,64,21,63,21,63,22,63,22,64,21,64,21,65,21,65,21,66,20,66,20,66,19,65,19,66,18,65,17,65,16,65,16,65,17,64,16,64,16,64,16,64,16,63,17,63,17,63,17,63,18,64,18,63,18,63,18,63,18,62,17,61,17,61,18,60,19,59,19,60,19,61,20,60,20,60,20,60,21,59,20,59,19,59,19,59,19,58,19,57,19,56,18,56,18,57,17,56,18,57,18,57,18,56,18,56,19,57,19,56,19,56,19,55,20,54,20,53,20,53,20,53,20,53,19,53,19,53,19,
65,39,65,38,66,39,66,39,66,40,67,40,67,40,67,41,66,41,67,41,66,40,66,40,66,41,66,41,65,41,65,41,66,40,67,41,68,42,68,41,67,42,66,42,66,41,66,40,67,40,67,40,66,41,67,40,67,41,67,41,68,41,68,41,69,40,69,40,69,40,68,40,67,39,66,39,66,39,65,39,64,40,63,40,62,41,62,41,62,41,61,42,61,41,62,41,62,42,62,43,62,44,61,43,61,42,60,41,61,41,61,41,60,42,59,41,59,41,58,41,58,40,58,40,59,40,59,40,59,40,59,39,59,38,59,38,58,38,58,37,58,37,58,37,58,37,58,37,57,37,57,37,58,36,58,36,58,36,58,35,58,35,58,35,57,35,57,34,56,34,56,35,56,35,56,35,56,36,56,35,55,34,55,33,55,34,56,34,56,34,56,33,56,33,57,33,57,32,58,33,
80,24,80,24,81,24,82,24,83,24,83,24,83,23,83,23,83,23,83,24,83,25,83,25,83,26,83,26,82,26,83,25,82,25,82,24,82,23,81,23,81,23,82,24,82,23,82,22,82,21,83,22,84,21,83,21,84,22,84,23,84,22,83,22,82,22,82,22,83,21,84,20,83,20,83,20,83,19,83,19,83,19,84,18,84,17,84,17,85,18,86,17,85,18,84,18,85,17,86,18,86,18,87,18,88,18,87,18,87,19,87,18,86,18,86,17,86,17,86,17,86,18,87,19,88,18,88,19,88,18,88,18,87,17,86,17,86,16,85,17,85,18,85,18,84,17,85,17,85,16,85,17,85,18,84,17,83,17,83,17,84,16,84,17,84,17,84,16,84,17,84,18,84,17,83,17,83,18,83,18,83,18,82,19,81,18,81,18,81,19,81,19,82,18,82,18,82,19,81,20,
